시도,주차장명,주차장유형,주소,위도,경도,관리기관,전화번호(주차장관리자),추가 연락처,20.09.30.(수),20.10.01.(목),20.10.02.(금),20.10.03.(토),20.10.04.(일),특이사항
부산광역시,금정구청,노외,부산광역시 금정구 중앙대로 1777(부곡동),35.243088,129.092142,금정구청 재무과,051-519-4161,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,범어사상마공영주차장,노외,부산광역시 금정구 청룡동435-19일원,35.2798631,129.0742632,금정구청 교통행정과,051-519-4512,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,선동주차장,노외,부산광역시 금정구 선동 720-2,35.26549,129.1094,금정구청 교통행정과,051-519-4512,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,기장군청,부설,부산광역시 기장군 기장읍 기장대로 560,35.244618,129.222311,기장군청,051-709-4163,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,기장읍사무소,부설,부산광역시 기장군 기장읍 차성동로5번길 10,35.238698,129.215811,기장읍사무소,051-709-5114,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,일광면사무소,부설,부산광역시 기장군 일광면 일광로 77-7,35.263916,129.232406,일광면사무소,051-709-5214,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,장안읍사무소,부설,부산광역시 기장군 장안읍 좌방길 5,35.313651,129.244171,장안읍사무소,051-709-5175,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,백운1공원묘지,부설,부산광역시 기장군 정관면 두명리 산47,35.352686,129.158199,백운1공원묘지,051-508-2934,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,별도의 개방시간 없음.
부산광역시,부산추모공원,부설,부산광역시 기장군 정관면 정관로 225,35.347933,129.1608,부산추모공원,051-790-5100,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공원묘지참배객에 한해서만 개방
부산광역시,백운2공원묘지,부설,부산광역시 기장군 정관면 모전리 산88-1,35.33287,129.159102,백운2공원묘지,051-727-3188,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,별도의 개방시간 없음.
부산광역시,대정공원묘지,부설,부산광역시 기장군 정관면 용수리 산115-10,35.329121,129.158484,대정공원묘지,051-728-4949,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,별도의 개방시간 없음.
부산광역시,정관도서관,부설,부산광역시 기장군 정관면 정관중앙로 100,35.325346,129.181939,정관도서관,051-709-3934,,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,07:00~22:00,
부산광역시,정관읍사무소,부설,부산광역시 기장군 정관읍 용수로 4,35.325828,129.180131,정관읍사무소,051-709-5241,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,정관보건지소,부설,부산광역시 기장군 정관읍 용수로 4,35.325828,129.180131,정관보건지소,051-709-5241,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,실로암공원묘지,부설,부산광역시 기장군 철마면 고촌리 산95-10,35.250625,129.157274,실로암공원묘지,051-722-5115,,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,07:30~19:00,공원묘지참배객에 한해서만 개방
부산광역시,철마면사무소,부설,부산광역시 기장군 철마면 철마로 485,35.274999,129.149848,철마면사무소,051-709-5271,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,철마체육공원,부설,부산광역시 기장군 철마면 철마로 543,35.272723,129.155092,철마체육공원,051-792-4820,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,남구청,부설,부산광역시 남구 못골로 19(대연동),35.136417,129.084019,부산광역시 남구청,051-607-4222,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,남부교육지원청,부설,부산광역시 남구 못골로 29(대연동),35.136107,129.085749,남부교육지원청,051-640-0315,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,지하주차장 사용불가
부산광역시,남구노인복지관,부설,부산광역시 남구 못골로 97-10(대연동),35.136246,129.093235,남구노인복지관,051-628-1292,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,나사함발달장애인복지관,부설,부산광역시 남구 못골번영로 70(대연동),35.141429,129.089037,나사함복지관,051-627-8521,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,남구국민체육센터,부설,부산광역시 남구 백운포로 110(용호동),35.129323,129.099166,남구청 시설관리사업소,051-607-4931,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,감만창의문화촌,부설,부산광역시 남구 우암로 84-1(감만동),35.118439,129.081478,감만종합사회복지관,051-634-3415,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,부산문화회관,부설,부산광역시 남구 유엔평화로76번길 1(대연동),35.127166,129.093504,(재)부산문화회관,051-607-6114,,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,
부산광역시,남구장애인복지관,부설,부산광역시 남구 조각공원로11번길 38(대연동),35.129323,129.099166,남구장애인복지관,051-626-6990,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,동구청 부설주차장,부설,부산광역시 동구 구청로 1,35.129232,129.045534,부산광역시 동구청,051-440-4161,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,수정2동제3공영주차장,노외,부산광역시 동구 수정동 823-22번지,35.128957,129.044719,부산광역시 동구청,051-440-4745,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,부산진세무서,부설,부산광역시 동구 진성로 23,35.13045,129.046909,부산진세무서,051-461-9241,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,1층만 개방
부산광역시,부산지방국토관리청,부설,부산광역시 동구 초량중로 67,35.117858,129.03847,부산지방국토관리청,051-660-1023,,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,23:00~07:00 입출차제한
부산광역시,안락1동 행정복지센터,부설,부산광역시 동래구 안연로 110번길9,35.197038,129.098591,부산광역시 동래구 안락1동,051-550-6508,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,안락2동 행정복지센터,부설,부산광역시 동래구 명안로18번길 103(안락동),35.197715,129.110083,부산광역시 동래구 안락2동,051-550-6529,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,명장1동 행정복지센터,부설,부산광역시 동래구 명장로32,35.204857,129.104304,부산광역시 동래구 명장1동,051-550-6541,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,동래구청,부설,부산광역시 동래구 온천천로359번길 70,35.196488,129.093071,부산광역시 동래구청,051-550-4151,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,신규 개방
부산광역시,부산진구청,부설,부산광역시 부산진구 시민공원로 30,35.163235,129.052943,부산진구청,051-605-4166,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,부산진구국민체육센터,부설,부산광역시 부산진구 진남로328번길 35,35.155264,129.073714,부산진구국민체육센터,051-710-7628,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,부전역공영주차장,노외,부산광역시 부산진구 부전동 46번지,35.163541,129.061813,부전마켓타운상인회,051-818-7009,,유료,종일 개방,종일 개방,종일 개방,유료,
부산광역시,화명1동주민센터,부설,부산광역시 북구 금곡대로 274(화명동),35.232732,129.013799,화명1동주민센터,051-309-6308,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,북구 보건소,부설,부산광역시 북구 금곡대로 348(화명동),35.23923,129.014749,북구 보건소,051-309-7022,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,금곡동주민센터,부설,부산광역시 북구 금곡대로 466(금곡동),35.250074,129.012812,금곡동주민센터,051-309-6264,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,북구청,부설,부산광역시 북구 낙동대로1570번길 33(구포동),35.197222,128.990302,부산광역시 북구청,051-309-4151,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,구포1동주민센터,부설,부산광역시 북구 낙동대로1762번길 75(구포동),35.206462,129.001116,구포1동주민센터,051-309-6201,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,덕천3동주민센터,부설,부산광역시 북구 덕천로 118(덕천동),35.210006,129.017614,덕천3동주민센터,051-309-6401,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,만덕2동주민센터,부설,부산광역시 북구 만덕2로44번길 10(만덕동),35.21019,129.037222,만덕2동주민센터,051-309-6441,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,덕천1동주민센터,부설,부산광역시 북구 만덕대로102번가길 11(덕천동),35.212354,129.016665,덕천1동주민센터,051-309-6082,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,구포3동주민센터,부설,부산광역시 북구 시랑로118번길 23(구포동),35.194858,129.008853,구포3동주민센터,051-309-6242,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,화명2동주민센터,부설,부산광역시 북구 양달로 58(화명동),35.243504,129.019881,화명2동주민센터,051-309-6321,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,국민체육센터,부설,부산광역시 북구 화명대로94번길 83(화명동),35.230775,129.017435,국민체육센터,051-365-7070,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,화명3동주민센터,부설,부산광역시 북구 화명신도시로 85(화명동),35.231753,129.010011,화명3동주민센터,051-309-6341,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,문화빙상센터,부설,부산광역시 북구 금곡대로 46번길 50(덕천동),35.214584,129.005563,문화빙상센터,051-309-4081,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,디지털도서관,부설,부산광역시 북구 은행나무로26(만덕동),35.20735,129.037668,디지털도서관,051-341-1932,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,화명도서관,부설,부산광역시 북구 화명대로12번길 59(화명동),35.232218,129.009195,화명도서관,051-309-6481,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,금곡도서관,부설,부산광역시 북구 효열로203번길 34(금곡동),35.263114,129.016655,금곡도서관,051-309-6181,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,기후변화체험교육관,부설,부산광역시 북구 학사로118(화명동),35.232811,129.008102,기후변화체험교육관,051-309-6291,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,해표사료주변,노상,부산광역시 사상구 감전동 127-1 일원,35.157672,128.975546,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,감전시장주변,노상,부산광역시 사상구 감전동 132-7 일원,35.155461,128.984707,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,명절에 만차 가능성 높음
부산광역시,감전중천주변,노상,부산광역시 사상구 감전동 150-1 일원,35.154437,128.977133,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,감전중고차시장주변,노상,부산광역시 사상구 감전동 156-1 일원,35.151351,128.988535,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,위생처리장주변,노상,부산광역시 사상구 감전동 509-11 일원,35.136526,128.968289,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,한국강관주변,노상,부산광역시 사상구 감전동 949-7 일원,35.147937,128.972883,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,파라곤호텔주변,노상,부산광역시 사상구 괘법동 565-6 일원,35.161401,128.981813,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,명절에 만차 가능성 높음
부산광역시,사상초등학교주변,노상,부산광역시 사상구 덕포동 752-3 일원,35.16756,128.983578,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,명절에 만차 가능성 높음
부산광역시,모라1동주민센터주변,노상,부산광역시 사상구 모라동 1345-6 일원,35.191521,128.991559,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,삼락재첩거리주변,노상,부산광역시 사상구 삼락동 70-21 일원,35.193699,128.985831,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,엄궁외식1번가주변,노상,부산광역시 사상구 엄궁동 652-7 일원,35.12681,128.967068,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,동신운수옆복개공영주차장,노상,부산광역시 사상구 주례동 1160-53 일원,35.149292,128.997654,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,동서고가도로밑주변,노상,부산광역시 사상구 주례동 394 일원,35.152756,129.002789,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,주례역공영주차장,노상,부산광역시 사상구 주례동 506 일원,35.150315,129.004071,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,명절에 만차 가능성 높음
부산광역시,주례오거리공영주차장,노상,부산광역시 사상구 주례동 743-2 일원,35.151116,129.000506,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,명절에 만차 가능성 높음
부산광역시,학장지구대주변,노상,부산광역시 사상구 학장동 242-1 일원,35.143834,128.982063,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,사상전화국주변,노상,부산광역시 사상구 학장동 281-9 일원,35.147205,128.991521,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,학장동주민센터주변,노상,부산광역시 사상구 학장동 386-1 일원,35.14437,128.987301,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,신일금속주변,노상,부산광역시 사상구 학장동 723-1 일원,35.147262,128.978954,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,동영공업주변,노상,부산광역시 사상구 학장동 748-1 일원,35.140968,128.974797,사상구청 교통행정과,051-310-4515,,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,공장지대에 위치하여 접근성 불편
부산광역시,사하구국민체육센터,부설,부산광역시 사하구 감천1동 702-1,35.0894307,128.9988474,사하구국민체육센터,051-202-3800,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"센터 운영일(10/3,10/4) 만차가능성 높음"
부산광역시,감천2동 행정복지센터,부설,부산광역시 사하구 감천동 12-9,35.094557,129.0094067,감천2동주민센터,051-220-5451,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"장애인전용:1면, 임산부전용:1면(총2면)"
부산광역시,감천제일교회,부설,부산광역시 사하구 감천동 12-121,35.094026,129.009182,감천제일교회,051-294-1595,,00:00~18:00,종일 개방,00:00~20:00,종일 개방,개방 안함,이중주차 불가피 → 반드시 전화번호 기재
부산광역시,감천교회,부설,부산광역시 사하구 감천동 30-9,35.0883422,129.0068616,감천교회,051-292-4343,,종일 개방,종일 개방,종일 개방,종일 개방,개방 안함,
부산광역시,감천1동 행정복지센터,부설,부산광역시 사하구 감천동 479-4,35.0880368,129.0046722,감천1동주민센터,051-220-5421,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,장기주차 불가
부산광역시,남정교회,부설,부산광역시 사하구 괴정동 199-8,35.105772,129.00483,남정교회,051-203-1291,,종일 개방,종일 개방,종일 개방,종일 개방,개방 안함,
부산광역시,괴정2동 행정복지센터,부설,부산광역시 사하구 괴정동 354-22,35.1034009,129.0040469,괴정2동주민센터,051-220-5036,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,전기차 충전자리 제외
부산광역시,성현교회,부설,부산광역시 사하구 괴정동 377-2,35.100807,129.003157,성현교회,070-7163-9338,,종일 개방,종일 개방,종일 개방,종일 개방,개방 안함,
부산광역시,괴정3동 행정복지센터,부설,부산광역시 사하구 괴정동 404-2,35.1003239,128.9981116,괴정3동주민센터,051-220-5061,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,장애인전용 : 2면
부산광역시,괴정4동 행정복지센터,부설,부산광역시 사하구 괴정동 571-2,35.0991434,128.9831775,괴정4동주민센터,051-220-5091,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,괴정1동 행정복지센터,부설,부산광역시 사하구 괴정동 820-3,35.0997238,128.989389,괴정1동주민센터,051-220-5001,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,주차가능 면수 : 1면 
부산광역시,구평동 행정복지센터,부설,부산광역시 사하구 구평동 159-1,35.0818552,128.9878552,구평동주민센터,051-220-5391,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,다대2동 행정복지센터,부설,부산광역시 사하구 다대로429번길 30,35.063434,128.982223,다대2동 행정복지센터,051-220-5361,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"장기주차 불가, 장애인전용: 1면, 경차전용: 1면, 일반: 4면, 명절에 만차가능성 높음  "
부산광역시,다대중앙교회,부설,부산광역시 사하구 다대로 595,35.0533139,128.9712319,다대중앙교회,051-261-1496,,15:00~22:00 제외,종일 개방,종일 개방,15:00~22:00 제외,개방 안함,
부산광역시,사하구청,부설,부산광역시 사하구 당리동 317-16,35.1043965,128.9749537,사하구청,051-220-4154,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,공용차량 상시주차로 주차가능 면수 적음
부산광역시,당리동 행정복지센터,부설,부산광역시 사하구 당리동 321-9,35.102924,128.9766966,당리동주민센터,051-220-5121,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"총3면 중 전기차 충전소 1면, 장시간 주차 불가"
부산광역시,강동병원,부설,부산광역시 사하구 신평1동 69,35.0896073,128.9781806,강동병원,051-209-1100,,09:00~20:00 제외,09:00~20:00 제외,09:00~20:00 제외,09:00~20:00 제외,09:00~20:00 제외,영업시간(09:00 ~ 20:00) 외 주차가능(영업시간 내 이동조치)
부산광역시,신평2동 행정복지센터,부설,부산광역시 사하구 신평동 646-2,35.0946737,128.9595033,신평2동주민센터,051-220-5211,,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,사하구청 제2청사(신청사) 내에 위치
부산광역시,장림1동 행정복지센터,부설,부산광역시 사하구 장림동 1140,35.0829924,128.9668748,장림1동주민센터,051-220-5271,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"장애인전용 : 2면, 임산부전용 : 1면, 그외 주차선 없음"
부산광역시,장림2동 행정복지센터,부설,부산광역시 사하구 장림동 601,35.0779067,128.9726198,장림2동주민센터,051-220-5301,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"공용차량 주차로 주차가능면 : 1면, 주차공간이 좁은편, 장기주차 불가, 명절에 만차가능성 높음"
부산광역시,하단2동 행정복지센터,부설,부산광역시 사하구 하단동 1161-3,35.114591,128.9605464,하단2동주민센터,051-220-5185,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"장애인전용:1면, 전기차충전소 옆면:1면, 일반:3면, 명절에 만차가능성 높음"
부산광역시,하단1동 행정복지센터,부설,부산광역시 사하구 하단동 608-11,35.1039629,128.9642475,하단1동주민센터,051-220-5151,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"공용차량 주차로 주차가능면 : 1면, 장애인전용주차장 : 1면, 장기주차 불가, 명절에 만차가능성 높음"
부산광역시,아미성당,부설,부산광역시 사하구 감천동 1-1,35.097974,35.097974,아미성당,051-256-1039,,오전 제외,오후 제외,종일 개방,오후 제외,개방 안함,
부산광역시,사하구청 제2청사,부설,부산광역시 사하구 신평동 646-2,35.094832,128.961746,사하구청,051-220-0092,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"지상(10면)만 무료 개방, 지하 75면은 유료"
부산광역시,서구청,부설,부산광역시 서구 구덕로120,35.0979,129.024205,부산광역시 서구청,051-240-4152,,09:00~24:00,종일 개방,종일 개방,종일 개방,09:00~18:00,
부산광역시,서구 구덕문화공원,노외,부산광역시 서구 꽃마을로163번길 73,35.126408,129.005063,서구구덕문화공원,051-240-3523,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"기존 송도오션파크 미개방, 신규로 구덕문화공원 신규 개방"
부산광역시,서대신4동 주민센터,부설,부산광역시 서구 꽃마을로 58(서대신동3가),35.119106,129.011599,서대신4동주민센터,051-240-6501,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,남부민1동 주민센터,부설,부산광역시 서구 충무대로255번길 5-26,35.092756,129.023337,남부민1동 주민센터,051-240-6602,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,암남동 주민센터,부설,부산광역시 서구 충무대로 83,35.079761,129.020978,암남동 주민센터,051-240-6669,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,
부산광역시,부산광역시 수영구청,부설,부산광역시 수영구 남천동로 100(남천동),35.14536623,129.1123652,부산시 수영구청,051-610-4101,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"73면, 본관앞 지상주차장 개방"
부산광역시,수영구보건소,부설,부산광역시 수영구 수영로 637-5,35.16247327,129.1134875,수영구보건소,051-610-5610,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"코로나19 대응근무로 만차가능 높음, 35면"
부산광역시,수영구 국민체육센터,부설,부산광역시 수영구 수영로521번길 77,35.15288331,129.1075069,수영구 국민체육센터,051-711-2340,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"장애인전용: 5면, 일반: 64면"
부산광역시,망미2동 행정복지센터,부설,부산광역시 수영구 수미로35번길 40,35.16200461,129.1134811,망미2동 행정복지센터,051-610-5945,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,"장애인전용: 1면, 일반: 17면"
부산광역시,수영세무서,부설,부산광역시 수영구 남천동로19번길 28,35.14353771,129.1112429,수영세무서,051-620-9246,,종일 개방,종일 개방,종일 개방,종일 개방,종일 개방,지하1층 주차장만 개방
부산광역시,부산시 소방본부,부설,부산광역시 연제구 고분로 216,35.184119,129.105954,부산시 소방본부,051-760-4323,,종일 개방,종일 개방,종일 개방,종일 개방,00:00~24:00,
부산광역시,부산지방국세청,부설,부산광역시 연제구 연제로12,35.177029,129.078214,부산지방국세청,051-750-7200,,종일 개방,종일 개방,종일 개방,종일 개방,00:00~24:00,
부산광역시,연제구청,부설,부산광역시 연제구 연제로2,35.17667,129.079412,연제구청,051-665-4222,,종일 개방,종일 개방,종일 개방,종일 개방,00:00~24:00,
부산광역시,부산지방노동청,부설,부산광역시 연제구 연제로36,35.178331,129.076869,부산지방노동청,051-850-6310,,종일 개방,종일 개방,종일 개방,종일 개방,00:00~24:00,
